id,epic,title_th,title_en,priority,phase,group,legal_ref,actors,be_size,fe_size,ux,be_days,fe_days,sa_days,ux_days,qa_days,depends_on,processes,module_doc,acceptance_criteria,status
PNG-05,PNG,ประกาศสองภาษา,TH/EN notices,Must,P1,สร้าง,ม.23,LEGAL,S,S,N,3,3,0.7,0,2.1,PLT-03,BP-04,docs/modules/PNG.md#png-05,publish ไม่ได้ถ้าฉบับแปลยังไม่อัปเดตตามเวอร์ชันล่าสุด (ตั้งค่าได้),todo
PNG-06,PNG,จัดการเวอร์ชัน,Versioning,Must,P1,เผยแพร่,ม.23,LEGAL DPO,S,S,N,3,3,0.7,0,2.1,PLT-08,BP-04,docs/modules/PNG.md#png-06,หน้า public แสดงเวอร์ชันปัจจุบันและดูประวัติย้อนหลังได้,todo
PNG-07,PNG,แจ้งการเปลี่ยนแปลงและขอความยินยอมใหม่,Change notification,Must,P1,เผยแพร่,ม.21,DPO DS,M,S,N,5,3,1.0,0,2.8,"PNG-06, CON-12",BP-04,docs/modules/PNG.md#png-07,การเปลี่ยนวัตถุประสงค์สร้างงานขอความยินยอมใหม่อัตโนมัติ,todo
PNG-08,PNG,เผยแพร่และฝังในระบบ,Hosting & embed,Should,P1,เผยแพร่,แนวปฏิบัติตลาด,WEB,S,M,Y,3,5,1.0,2.0,2.8,PLT-17,BP-04,docs/modules/PNG.md#png-08,ประกาศแสดงบนเว็บลูกค้าผ่าน embed และอัปเดตเองเมื่อ publish,todo
PNG-14,PNG,อนุมัติก่อนเผยแพร่,Review & approval,Should,P1,กำกับ,แนวปฏิบัติตลาด,DPO,XS,S,N,1,3,0.5,0,1.4,PLT-08,BP-04,docs/modules/PNG.md#png-14,ประกาศเผยแพร่ได้หลังอนุมัติเท่านั้น,todo
PNG-09,PNG,บันทึกการรับทราบ,Acknowledgement log,Should,P3,เผยแพร่,ม.23,DS,S,S,N,3,3,0.7,0,2.1,PLT-17,BP-04,docs/modules/PNG.md#png-09,ตรวจได้ว่าบุคคลรับทราบประกาศเวอร์ชันใด,todo
PNG-10,PNG,ดึงเนื้อหาจาก RoPA,Auto-populate from RoPA,Should,P3,เนื้อหา,"ม.23, ม.39",LEGAL,M,S,N,5,3,1.0,0,2.8,"ROPA-03, PLT-11",BP-04,docs/modules/PNG.md#png-10,RoPA เปลี่ยนแล้วประกาศที่เกี่ยวข้องถูกทำเครื่องหมายให้ทบทวน,todo
PNG-11,PNG,แม่แบบตามอุตสาหกรรม,Industry templates,Should,P3,เนื้อหา,แนวปฏิบัติตลาดไทย,LEGAL,XS,S,N,1,3,0.5,0,1.4,T40,BP-04,docs/modules/PNG.md#png-11,มี template ครบ 6 อุตสาหกรรมทั้ง TH/EN,todo
PNG-12,PNG,ประกาศแบบหลายชั้นและป้าย CCTV,Layered notice & CCTV signage,Should,P3,เนื้อหา,แนวปฏิบัติตลาด,LEGAL,S,M,Y,3,5,1.0,2.0,2.8,PNG-08,BP-04,docs/modules/PNG.md#png-12,ป้าย CCTV พิมพ์ได้และ QR เปิดฉบับเต็มได้,todo
PNG-15,PNG,แจ้งเตือนทบทวนตามรอบ,Periodic review reminder,Should,P3,กำกับ,ม.23,SCHED DPO,S,XS,N,3,1,0.5,0,1.4,PLT-10,BP-04,docs/modules/PNG.md#png-15,เจ้าของประกาศได้รับงานทบทวนตามรอบ,todo
PNG-16,PNG,สร้างนโยบายความเป็นส่วนตัวและนโยบายคุกกี้,Privacy & cookie policy generator,Should,P3,เอกสารอื่น,ม.23,LEGAL,M,S,N,5,3,1.0,0,2.8,"PNG-01, CON-05",BP-04,docs/modules/PNG.md#png-16,นโยบายที่สร้างอ้างถึงประกาศและตารางคุกกี้เวอร์ชันล่าสุด,todo
PNG-13,PNG,ลิงก์เอกสารอ้างอิงในประกาศ,Linked documents,Nice,P4,เนื้อหา,แนวปฏิบัติตลาด,LEGAL,XS,S,N,1,3,0.5,0,1.4,PNG-08,BP-04,docs/modules/PNG.md#png-13,ลิงก์แสดงตามรูปแบบที่ตั้ง,todo
ROPA-01,ROPA,ทะเบียนข้อมูลส่วนบุคคล,Personal data inventory,Must,P1,ทะเบียน,ม.39,OWNER IT,M,M,Y,5,5,1.2,2.0,3.5,ORG-07,BP-05,docs/modules/ROPA.md#ropa-01,ข้อมูลอ่อนไหวถูกระบุและกรองได้ทุกหน่วยงาน,todo
ROPA-02,ROPA,ทะเบียนระบบและทรัพย์สิน,System / asset register,Must,P1,ทะเบียน,"ม.37(1), ม.39",IT,M,M,Y,5,5,1.2,2.0,3.5,ORG-06,BP-05,docs/modules/ROPA.md#ropa-02,กิจกรรมอ้างถึงระบบจากทะเบียนเดียวกัน,todo
ROPA-03,ROPA,RoPA ของผู้ควบคุมข้อมูล,RoPA – controller,Must,P1,บันทึกรายการ,ม.39,OWNER DPO,L,L,Y,10,10,2.4,4.0,7.0,"ROPA-01, ROPA-02, PLT-06",BP-05,docs/modules/ROPA.md#ropa-03,กิจกรรมที่ขาดหัวข้อบังคับแสดงสถานะ 'ไม่ครบ' พร้อมรายการที่ขาด,todo
ROPA-04,ROPA,RoPA ของผู้ประมวลผลข้อมูล,RoPA – processor,Must,P1,บันทึกรายการ,ม.40(3); ประกาศ สคส. RoPA ผู้ประมวลผล พ.ศ. 2565,OWNER DPO,M,M,N,5,5,1.2,0,3.5,ROPA-03,BP-05,docs/modules/ROPA.md#ropa-04,ส่งออก RoPA ผู้ประมวลผลได้ครบหัวข้อตามประกาศ,todo
ROPA-05,ROPA,เพิ่มกิจกรรมแบบปกติและแบบมาตรฐาน,Add activity (blank or template),Must,P1,บันทึกรายการ,ม.39,OWNER,S,S,N,3,3,0.7,0,2.1,"ROPA-03, RTG-01",BP-05,docs/modules/ROPA.md#ropa-05,สร้างจาก template แล้วได้ค่าตั้งต้นครบทุกหัวข้อ,todo
ROPA-06,ROPA,ฐานกฎหมายต่อวัตถุประสงค์,Lawful basis mapping,Must,P1,ฐานกฎหมาย,"ม.24, ม.26",OWNER DPO,M,S,N,5,3,1.0,0,2.8,"ROPA-03, CON-09",BP-05,docs/modules/ROPA.md#ropa-06,วัตถุประสงค์ที่ใช้ฐานความยินยอมต้องผูก Purpose ก่อนบันทึก,todo
ROPA-07,ROPA,ระยะเวลาเก็บรักษาและวิธีทำลาย,Retention & disposal method,Must,P1,ฐานกฎหมาย,"ม.37(3), ม.39(4)",OWNER,S,S,N,3,3,0.7,0,2.1,ROPA-03,BP-05,docs/modules/ROPA.md#ropa-07,ทุกกิจกรรมมีระยะเวลาเก็บและวิธีทำลาย,todo
ROPA-08,ROPA,ผู้รับข้อมูลและการโอนต่างประเทศ,Recipients & cross-border transfers,Must,P1,ฐานกฎหมาย,"ม.27-29, ม.39(6)",OWNER,M,M,N,5,5,1.2,0,3.5,"ORG-06, ORG-07",BP-05,docs/modules/ROPA.md#ropa-08,การโอนที่ไม่มีฐานการโอนถูกเตือน,todo
ROPA-09,ROPA,มาตรการความปลอดภัยต่อกิจกรรม,Security measures per activity,Must,P1,ฐานกฎหมาย,"ม.37(1), ม.39(8)",IT DPO,S,S,N,3,3,0.7,0,2.1,DPO-09,BP-05,docs/modules/ROPA.md#ropa-09,ทุกกิจกรรมอ้างอิงมาตรการตาม ม.37(1),todo
ROPA-10,ROPA,บันทึกการปฏิเสธคำขอใช้สิทธิ,Log of rejected requests,Must,P1,ฐานกฎหมาย,ม.39(7),DPO SCHED,S,S,N,3,3,0.7,0,2.1,DSAR-11,BP-05 BP-11,docs/modules/ROPA.md#ropa-10,คำขอที่ถูกปฏิเสธปรากฏใน RoPA ของกิจกรรมที่เกี่ยวข้องอัตโนมัติ,todo
ROPA-13,ROPA,เวอร์ชันและการอนุมัติ,Version control & approval,Should,P1,Workflow,ม.39,DPO,S,S,N,3,3,0.7,0,2.1,PLT-08,BP-05,docs/modules/ROPA.md#ropa-13,กิจกรรมที่อนุมัติแล้วแก้ได้ผ่านเวอร์ชันใหม่เท่านั้น,todo
ROPA-16,ROPA,ออกรายงาน RoPA,RoPA export,Must,P1,รายงาน,ม.39,DPO AUDIT,M,S,N,5,3,1.0,0,2.8,PLT-18,BP-05,docs/modules/ROPA.md#ropa-16,ไฟล์ที่ส่งออกพร้อมส่ง สคส. เมื่อร้องขอ,todo
ROPA-18,ROPA,นำเข้า RoPA จาก Excel เดิม,Bulk import,Should,P1,นำเข้า,แนวปฏิบัติตลาด,DPO,M,S,N,5,3,1.0,0,2.8,PLT-14,BP-05,docs/modules/ROPA.md#ropa-18,นำเข้า RoPA 500 กิจกรรมจาก Excel ได้ และรายงานรายการที่ต้องแก้,todo
ROPA-11,ROPA,แบบสอบถามเก็บข้อมูลจากหน่วยงาน,Data mapping questionnaire,Should,P3,Workflow,ม.39,DPO OWNER,M,S,N,5,3,1.0,0,2.8,"PLT-06, ROPA-03",BP-05,docs/modules/ROPA.md#ropa-11,คำตอบที่อนุมัติแล้วเข้า RoPA อัตโนมัติ,todo
ROPA-12,ROPA,ถาม-ตอบกับ DPO หรือที่ปรึกษา,Activity Q&A,Should,P3,Workflow,แนวปฏิบัติตลาด,OWNER DPO,XS,S,N,1,3,0.5,0,1.4,PLT-07,BP-05,docs/modules/ROPA.md#ropa-12,คำถามที่ยังไม่ตอบแสดงในรายการงานของผู้รับ,todo
ROPA-14,ROPA,วงจรชีวิตของกิจกรรม,Activity lifecycle,Should,P3,Workflow,ม.39,OWNER,S,XS,N,3,1,0.5,0,1.4,ROPA-03,BP-05,docs/modules/ROPA.md#ropa-14,กิจกรรมที่สิ้นสุดไม่ปรากฏในรายงานปัจจุบันแต่ค้นย้อนหลังได้,todo
ROPA-15,ROPA,แจ้งเตือนทบทวน RoPA ตามรอบ,Periodic review reminder,Should,P3,Workflow,ม.39,SCHED OWNER,S,XS,N,3,1,0.5,0,1.4,PLT-10,BP-05,docs/modules/ROPA.md#ropa-15,เจ้าของกิจกรรมได้รับงานทบทวนตามรอบ,todo
ROPA-17,ROPA,แดชบอร์ด RoPA,RoPA dashboard,Should,P3,รายงาน,แนวปฏิบัติตลาด,DPO EXEC,S,M,Y,3,5,1.0,2.0,2.8,PLT-18,BP-05,docs/modules/ROPA.md#ropa-17,ตัวเลขใน dashboard ตรงกับทะเบียน,todo
ROPA-19,ROPA,เชื่อม RoPA กับโมดูลอื่น,Cross-module links,Should,P3,เชื่อมต่อ,ม.39,SCHED,M,S,N,5,3,1.0,0,2.8,PLT-11,BP-05,docs/modules/ROPA.md#ropa-19,แก้ RoPA แล้วเจ้าของเอกสารที่เกี่ยวข้องได้รับงานทบทวน,todo
ROPA-20,ROPA,ตรวจสิทธิ์ยกเว้นกิจการขนาดเล็ก,SME exemption check,Nice,P4,ยกเว้น,ประกาศ สคส. ยกเว้นกิจการขนาดเล็ก พ.ศ. 2565 และ พ.ศ. 2567,DPO,S,S,N,3,3,0.7,0,2.1,PLT-06,BP-05,docs/modules/ROPA.md#ropa-20,ผลประเมินระบุว่าได้รับยกเว้นหรือไม่พร้อมเหตุผลอ้างประกาศ,todo
RTG-01,RTG,คลังกิจกรรมมาตรฐานตามหมวดงาน,Standard activity library,Must,P1,คลัง template,ม.39,DPO SUPER,M,M,Y,5,5,1.2,2.0,3.5,"ROPA-03, T15",,docs/modules/RTG.md#rtg-01,มีกิจกรรมมาตรฐานอย่างน้อย 50 รายการใน P1 ครบทุกหัวข้อ ม.39,todo
RTG-04,RTG,สร้าง RoPA จาก template ในไม่กี่ขั้นตอน,One-click generation,Must,P1,สร้าง,ม.39,OWNER DPO,M,M,Y,5,5,1.2,2.0,3.5,RTG-01,BP-05,docs/modules/RTG.md#rtg-04,สร้างร่าง RoPA 20 กิจกรรมได้ในครั้งเดียว,todo
RTG-05,RTG,Wizard ถาม-ตอบภาษาง่าย,Question-based wizard,Must,P2,สร้าง,ม.39,OWNER,M,L,Y,5,10,1.8,4.0,5.2,"PLT-06, ROPA-03",BP-05,docs/modules/RTG.md#rtg-05,ผู้ใช้ทั่วไปสร้าง RoPA ครบหัวข้อได้โดยไม่ต้องรู้ศัพท์กฎหมาย,todo
RTG-06,RTG,ค่าแนะนำพร้อมเหตุผล,Suggested defaults with rationale,Must,P2,สร้าง,"ม.24, ม.26, ม.39",OWNER,M,S,N,5,3,1.0,0,2.8,RTG-01,BP-05,docs/modules/RTG.md#rtg-06,ค่าแนะนำทุกข้อมีเหตุผลอ้างมาตรา และไม่ถูกบันทึกจนกว่าผู้ใช้ยืนยัน,todo
RTG-12,RTG,ส่งออก template และร่าง RoPA,Export templates,Must,P2,ส่งออก,ม.39,DPO,S,XS,N,3,1,0.5,0,1.4,PLT-18,,docs/modules/RTG.md#rtg-12,ไฟล์ส่งออกเปิดได้ทั้ง Excel และ Word,todo
RTG-02,RTG,Template ตามอุตสาหกรรม,Industry templates,Should,P3,คลัง template,แนวปฏิบัติตลาด,DPO SUPER,XS,S,N,1,3,0.5,0,1.4,"RTG-01, T40",,docs/modules/RTG.md#rtg-02,มีชุดกิจกรรมครบ 6 อุตสาหกรรม,todo
RTG-03,RTG,Template ภาครัฐตามแม่แบบ สพร.,Government templates (DGA),Should,P3,คลัง template,เอกสารแม่แบบผู้ควบคุมข้อมูลภาครัฐ สพร. v1.0 (2564),DPO SUPER,XS,S,N,1,3,0.5,0,1.4,"RTG-01, T40",,docs/modules/RTG.md#rtg-03,RoPA ที่สร้างมีหัวข้อตามแม่แบบ สพร.,todo
RTG-07,RTG,สร้าง RoPA ผู้ประมวลผลจาก template,Processor RoPA templates,Should,P3,สร้าง,ประกาศ สคส. RoPA ผู้ประมวลผล พ.ศ. 2565,OWNER DPO,S,S,N,3,3,0.7,0,2.1,ROPA-04,BP-05,docs/modules/RTG.md#rtg-07,สร้าง RoPA ผู้ประมวลผลจาก template ได้,todo
RTG-08,RTG,แก้ไขและสร้าง template ขององค์กร,Custom templates,Should,P3,ปรับแต่ง,แนวปฏิบัติตลาด,DPO LEGAL,M,M,N,5,5,1.2,0,3.5,RTG-01,,docs/modules/RTG.md#rtg-08,บริษัทในเครือใช้ template มาตรฐานของกลุ่มได้,todo
RTG-09,RTG,Template สองภาษา,Bilingual templates,Should,P3,ปรับแต่ง,แนวปฏิบัติตลาด,LEGAL,XS,XS,N,1,1,0.2,0,0.7,PLT-03,,docs/modules/RTG.md#rtg-09,ทุก template มีทั้ง TH และ EN,todo
RTG-10,RTG,เวอร์ชัน template และแจ้งเมื่อกฎหมายเปลี่ยน,Template versioning,Should,P3,กำกับ,แนวปฏิบัติตลาด,SUPER SCHED DPO,M,S,N,5,3,1.0,0,2.8,RTG-08,,docs/modules/RTG.md#rtg-10,ประกาศ สคส. ใหม่ → กิจกรรมที่ได้รับผลกระทบได้รับงานทบทวน,todo
RTG-11,RTG,มอบหมายร่าง RoPA ให้หน่วยงานยืนยัน,Auto task to department,Should,P3,กำกับ,แนวปฏิบัติตลาด,SCHED OWNER,S,S,N,3,3,0.7,0,2.1,PLT-05,,docs/modules/RTG.md#rtg-11,ร่างที่ยังไม่ยืนยันถูกเตือนตาม SLA,todo
RTG-13,RTG,AI แนะนำกิจกรรมจากคำอธิบายงาน,AI activity suggestion,Nice,P4,AI,แนวโน้มตลาด,OWNER LLM,M,S,N,5,3,1.0,0,2.8,PLT-22,,docs/modules/RTG.md#rtg-13,คำแนะนำทุกข้อต้องมีคนยืนยันก่อนสร้างกิจกรรม,todo
DFG-01,DFG,สร้างแผนผังอัตโนมัติจาก RoPA,Auto data flow diagram,Must,P2,แผนผัง,ม.39,DPO OWNER,M,XL,Y,5,20,3.0,8.0,8.8,ROPA-03,,docs/modules/DFG.md#dfg-01,แผนผังของ 50 กิจกรรมแสดงภายใน 3 วินาทีและตรงกับข้อมูล RoPA,todo
DFG-02,DFG,อัปเดตแผนผังเมื่อข้อมูลเปลี่ยน,Auto refresh,Must,P2,แผนผัง,ม.39,SCHED,S,S,N,3,3,0.7,0,2.1,"DFG-01, PLT-11",,docs/modules/DFG.md#dfg-02,แก้ RoPA แล้วแผนผังเปลี่ยนตามโดยไม่ต้องสร้างใหม่,todo
DFG-03,DFG,แสดงการโอนไปต่างประเทศ,Cross-border mapping,Must,P2,แผนผัง,ม.28-29; ประกาศ สคส. ตามมาตรา 28 และ 29 พ.ศ. 2566,DPO,S,M,N,3,5,1.0,0,2.8,ROPA-08,,docs/modules/DFG.md#dfg-03,เส้นทางโอนที่ไม่มีฐานการโอนแสดงเป็นสีเตือน,todo
DFG-04,DFG,แสดงผู้ประมวลผลและผู้รับข้อมูล,Processor & recipient mapping,Must,P2,แผนผัง,ม.40,DPO,S,S,N,3,3,0.7,0,2.1,"DPA-11, DSA-11",,docs/modules/DFG.md#dfg-04,ผู้ประมวลผลที่ไม่มี DPA แสดงเตือนบนแผนผัง,todo
DFG-08,DFG,ส่งออกภาพและรายงาน,Export image & report,Must,P2,ส่งออก,ม.39,DPO AUDIT,M,M,N,5,5,1.2,0,3.5,PLT-16,,docs/modules/DFG.md#dfg-08,ภาพที่ส่งออกอ่านได้ชัดในขนาด A3,todo
DFG-05,DFG,แก้ไขแผนผังแบบลากวาง,Drag & drop editor,Should,P3,แก้ไข,แนวปฏิบัติตลาด,DPO,S,L,Y,3,10,1.6,4.0,4.5,DFG-01,,docs/modules/DFG.md#dfg-05,ตำแหน่งที่จัดเองยังอยู่หลังข้อมูลอัปเดต,todo
DFG-06,DFG,มุมมองหลายระดับ,Multi-view,Should,P3,แก้ไข,แนวปฏิบัติตลาด,OWNER DPO,M,M,N,5,5,1.2,0,3.5,DFG-01,,docs/modules/DFG.md#dfg-06,สลับมุมมองได้โดยข้อมูลตรงกัน,todo
DFG-07,DFG,เผยแพร่และประวัติเวอร์ชันแผนผัง,Publish & history,Should,P3,แก้ไข,แนวปฏิบัติตลาด,DPO,S,S,N,3,3,0.7,0,2.1,PLT-08,,docs/modules/DFG.md#dfg-07,ดูแผนผังที่ publish ย้อนหลังได้,todo
DFG-09,DFG,ค้นหาข้อมูลส่วนบุคคลอัตโนมัติ (Data Discovery),Data discovery,Should,P3,อัตโนมัติ,ม.37(1),IT DATASRC,XL,M,Y,20,5,3.0,2.0,8.8,PLT-20,,docs/modules/DFG.md#dfg-09,ตรวจจับเลขบัตรประชาชนในชุดทดสอบได้อย่างน้อย 95% และไม่มีค่าจริงถูกเก็บในระบบ,todo
DFG-10,DFG,แผนผังระดับระบบ (Data lineage),System-level lineage,Nice,P4,อัตโนมัติ,แนวโน้มตลาด,IT,M,M,N,5,5,1.2,0,3.5,ROPA-02,,docs/modules/DFG.md#dfg-10,แสดงการไหลระหว่างระบบตรงกับทะเบียน asset,todo
DFG-11,DFG,แผนที่โลกของการโอนข้อมูล,Transfer world map,Nice,P4,อัตโนมัติ,แนวโน้มตลาด,DPO,S,M,N,3,5,1.0,0,2.8,DFG-03,,docs/modules/DFG.md#dfg-11,คลิกประเทศแล้วเห็นกิจกรรมที่โอนไปประเทศนั้น,todo
DSAR-01,DSAR,แบบฟอร์มขอใช้สิทธิออนไลน์,DSR web form,Must,P1,รับคำขอ,ม.30-36,DS,M,M,Y,5,5,1.2,2.0,3.5,"PLT-06, PLT-17",BP-06,docs/modules/DSAR.md#dsar-01,ผู้ยื่นได้เลขที่คำขอทันทีหลังส่ง,todo
DSAR-02,DSAR,รับคำขอหลายช่องทาง,Multi-channel intake,Must,P1,รับคำขอ,ม.30,FRONT EXT,S,M,N,3,5,1.0,0,2.8,DSAR-08,BP-06,docs/modules/DSAR.md#dsar-02,คำขอทุกช่องทางเข้าคิวเดียวกันและระบุช่องทางที่มา,todo
DSAR-03,DSAR,ครอบคลุมสิทธิทุกประเภท,All data subject rights,Must,P1,รับคำขอ,"ม.19, ม.30-36",DS DPO,M,S,N,5,3,1.0,0,2.8,DSAR-08,BP-06,docs/modules/DSAR.md#dsar-03,ทุกประเภทสิทธิมี workflow และหนังสือตอบของตนเอง,todo
DSAR-04,DSAR,ยื่นคำขอแทนเจ้าของข้อมูล,Authorized agent / guardian,Must,P1,รับคำขอ,ม.20,GUARD,S,S,N,3,3,0.7,0,2.1,DSAR-01,BP-06,docs/modules/DSAR.md#dsar-04,คำขอแทนต้องมีเอกสารยืนยันอำนาจก่อนดำเนินการ,todo
DSAR-06,DSAR,ยืนยันตัวตนผู้ยื่นคำขอ,Identity verification,Must,P1,ยืนยันตัวตน,แนวปฏิบัติตลาด,DS DPO,M,S,N,5,3,1.0,0,2.8,IAM-05,BP-06,docs/modules/DSAR.md#dsar-06,เลขบัตรในไฟล์ที่เก็บถูกปกปิดเสมอ และบันทึกวันยืนยันตัวตน,todo
DSAR-07,DSAR,นับเวลา SLA 30 วัน,SLA tracking (30 days),Must,P1,ดำเนินการ,ม.30 วรรคสาม,SCHED DPO,S,S,N,3,3,0.7,0,2.1,PLT-05,BP-06,docs/modules/DSAR.md#dsar-07,คำขอที่เหลือ 7 วันถูกแจ้งเตือนผู้รับผิดชอบและ DPO,todo
DSAR-08,DSAR,Workflow และงานย่อย,Workflow & subtasks,Must,P1,ดำเนินการ,แนวปฏิบัติตลาด,DPO IT,L,M,Y,10,5,1.8,2.0,5.2,PLT-05,BP-06,docs/modules/DSAR.md#dsar-08,คำขอเดินครบทุกขั้นตอนและปิดได้เมื่อ subtask เสร็จทั้งหมด,todo
DSAR-11,DSAR,ปฏิเสธคำขอพร้อมเหตุผล,Rejection with reason,Must,P1,ดำเนินการ,"ม.30, ม.39(7)",DPO,S,S,N,3,3,0.7,0,2.1,DSAR-13,BP-06,docs/modules/DSAR.md#dsar-11,การปฏิเสธต้องมีเหตุผลและผู้อนุมัติ และถูกบันทึกเข้า RoPA อัตโนมัติ,todo
DSAR-13,DSAR,template หนังสือตอบกลับ,Response templates,Must,P1,ตอบกลับ,แนวปฏิบัติตลาด,DPO,S,S,N,3,3,0.7,0,2.1,PLT-16,BP-06,docs/modules/DSAR.md#dsar-13,หนังสือตอบถูกสร้างอัตโนมัติตามประเภทสิทธิและผลการพิจารณา,todo
DSAR-14,DSAR,ส่งข้อมูลให้เจ้าของข้อมูลอย่างปลอดภัย,Secure delivery,Must,P1,ตอบกลับ,ม.37(1),DS DPO,M,S,N,5,3,1.0,0,2.8,"PLT-09, PLT-17",BP-06,docs/modules/DSAR.md#dsar-14,ลิงก์หมดอายุตามที่ตั้งและมี log การดาวน์โหลด,todo
DSAR-15,DSAR,ส่งออกข้อมูลแบบอ่านได้ด้วยเครื่อง,Portability export,Must,P1,ตอบกลับ,ม.31,DS DPO,M,XS,N,5,1,0.7,0,2.1,DSAR-14,BP-06,docs/modules/DSAR.md#dsar-15,ไฟล์ portability เปิดอ่านด้วยเครื่องได้และตรงกับข้อมูลในระบบ,todo
DSAR-17,DSAR,ประวัติและสืบค้นคำขอ,Request history & search,Must,P1,ติดตาม,ม.39(7),DPO,S,M,N,3,5,1.0,0,2.8,PLT-07,BP-06,docs/modules/DSAR.md#dsar-17,ค้นหาคำขอย้อนหลังด้วยเลขคำขอหรืออีเมลได้,todo
DSAR-18,DSAR,รายงานและแดชบอร์ดคำขอ,DSR reports & dashboard,Must,P1,ติดตาม,แนวปฏิบัติตลาด,DPO EXEC,S,M,Y,3,5,1.0,2.0,2.8,PLT-18,BP-06,docs/modules/DSAR.md#dsar-18,ตัวเลขใน dashboard ตรงกับรายการคำขอ,todo
DSAR-05,DSAR,รับเรื่องร้องเรียนและสอบถาม,Complaints & inquiries,Should,P3,รับคำขอ,ม.42,DS DPO,S,S,N,3,3,0.7,0,2.1,DSAR-08,BP-06,docs/modules/DSAR.md#dsar-05,เรื่องร้องเรียนติดตามจนปิดได้เหมือนคำขอ,todo
DSAR-09,DSAR,ค้นหาข้อมูลของเจ้าของข้อมูลข้ามระบบ,Cross-system data search,Should,P3,ดำเนินการ,ม.30,IT EXT,L,M,N,10,5,1.8,0,5.2,PLT-20,BP-06,docs/modules/DSAR.md#dsar-09,ค้นข้อมูลจากระบบที่เชื่อมได้ในคำสั่งเดียว และผลถูกลบเมื่อปิดคำขอ,todo
DSAR-10,DSAR,ตรวจข้อยกเว้นก่อนลบข้อมูล,Exemption & legal hold check,Should,P3,ดำเนินการ,ม.33,DPO,M,S,N,5,3,1.0,0,2.8,DPX-05,BP-06,docs/modules/DSAR.md#dsar-10,ข้อมูลที่ติด legal hold ไม่ถูกลบและมีเหตุผลอ้างอิง,todo
DSAR-12,DSAR,แจ้งผู้รับข้อมูลให้ดำเนินการตาม,Notify downstream recipients,Should,P3,ดำเนินการ,"ม.33, ม.34, ม.40",DPO VENDOR,M,S,N,5,3,1.0,0,2.8,"PLT-20, IAM-04",BP-06,docs/modules/DSAR.md#dsar-12,ทุกผู้รับข้อมูลยืนยันการลบ/แก้ไขพร้อมหลักฐานก่อนปิดคำขอ,todo
DSAR-16,DSAR,ปกปิดข้อมูลของบุคคลอื่น,Redaction,Should,P3,ตอบกลับ,ม.30 วรรคสอง,DPO,L,M,Y,10,5,1.8,2.0,5.2,DSAR-14,BP-06,docs/modules/DSAR.md#dsar-16,ข้อมูลที่ปิดทับกู้คืนจากไฟล์ผลลัพธ์ไม่ได้,todo
DSAR-19,DSAR,พอร์ทัลติดตามสถานะสำหรับผู้ยื่น,Requester status portal,Should,P3,ติดตาม,แนวปฏิบัติตลาด,DS,M,M,Y,5,5,1.2,2.0,3.5,"PLT-17, IAM-05",BP-06,docs/modules/DSAR.md#dsar-19,เจ้าของข้อมูลเห็นสถานะล่าสุดและส่งเอกสารเพิ่มได้เอง,todo
DSAR-20,DSAR,ตั้งค่า workflow แยกตามประเภทสิทธิ,Configurable workflow per right,Should,P3,ตั้งค่า,แนวปฏิบัติตลาด,DPO,M,M,Y,5,5,1.2,2.0,3.5,DSAR-08,BP-06,docs/modules/DSAR.md#dsar-20,เปลี่ยน workflow แล้วมีผลกับคำขอใหม่โดยไม่ต้อง deploy,todo
DSAR-21,DSAR,เชื่อมกับระบบ Consent,Consent integration,Should,P3,เชื่อมต่อ,"ม.19, ม.32",DPO SCHED,S,XS,N,3,1,0.5,0,1.4,CON-13,BP-06,docs/modules/DSAR.md#dsar-21,คำขอถอนความยินยอมอัปเดตสถานะใน CON อัตโนมัติ,todo
BRE-01,BRE,แบบฟอร์มแจ้งเหตุ,Incident intake form,Must,P1,รับแจ้ง,ม.37(4),EMP PUBLIC,S,M,Y,3,5,1.0,2.0,2.8,"PLT-06, PLT-17",BP-07,docs/modules/BRE.md#bre-01,แจ้งเหตุแล้วทีมที่กำหนดได้รับแจ้งเตือนทันที,todo
BRE-02,BRE,ทะเบียนเหตุละเมิด,Breach register,Must,P1,รับแจ้ง,ม.37(4); ประกาศแจ้งเหตุละเมิด พ.ศ. 2565,SEC DPO,M,M,Y,5,5,1.2,2.0,3.5,PLT-05,BP-07,docs/modules/BRE.md#bre-02,ทุกเหตุมีสถานะและผู้รับผิดชอบชัดเจน,done
BRE-03,BRE,รับแจ้งเหตุจากผู้ประมวลผล,Processor breach notification,Must,P1,รับแจ้ง,ม.40(2),VENDOR,S,S,N,3,3,0.7,0,2.1,"IAM-04, BRE-01",BP-07,docs/modules/BRE.md#bre-03,เหตุจากผู้ประมวลผลผูกกับคู่ค้าและเริ่มนับเวลาอัตโนมัติ,todo
BRE-04,BRE,กำหนดผู้รับแจ้งและทีมตอบสนอง,Response team routing,Must,P1,รับแจ้ง,แนวปฏิบัติตลาด,DPO SCHED,S,S,N,3,3,0.7,0,2.1,ORG-12,BP-07,docs/modules/BRE.md#bre-04,เหตุระดับสูงถูกมอบหมายและแจ้งทีมภายใน 5 นาที,todo
